Type	Chromosome	Start	End	-log10(q-value)	G-score	average amplitude	frequency
Amp	 1	151108613	151108613	0.744936	0.162607	0.985882	0.258824
Amp	 1	151259666	151259666	0.744936	0.162607	0.985882	0.258824
Amp	 1	152059517	152059517	0.744936	0.162607	0.985882	0.258824
Amp	 1	152192303	152192303	0.744936	0.162607	0.985882	0.258824
Amp	 1	152192849	152192849	0.744936	0.162607	0.985882	0.258824
Amp	 1	152276050	152276050	0.744936	0.162607	0.985882	0.258824
Amp	 1	152276155	152276155	0.744936	0.162607	0.985882	0.258824
Amp	 1	152276164	152276164	0.744936	0.162607	0.985882	0.258824
Amp	 1	152276248	152276248	0.744936	0.162607	0.985882	0.258824
Amp	 1	152276722	152276722	0.744936	0.162607	0.985882	0.258824
Amp	 1	152277640	152277640	0.744936	0.162607	0.985882	0.258824
Amp	 1	152278612	152278612	0.744936	0.162607	0.985882	0.258824
Amp	 1	152279728	152279728	0.744936	0.162607	0.985882	0.258824
Amp	 1	152280556	152280556	0.744936	0.162607	0.985882	0.258824
Amp	 1	152281015	152281015	0.744936	0.162607	0.985882	0.258824
Amp	 1	152281618	152281618	0.744936	0.162607	0.985882	0.258824
Amp	 1	152282149	152282149	0.744936	0.162607	0.985882	0.258824
Amp	 1	152282590	152282590	0.744936	0.162607	0.985882	0.258824
Amp	 1	152283289	152283289	0.744936	0.162607	0.985882	0.258824
Amp	 1	152284939	152284939	0.744936	0.162607	0.985882	0.258824
Amp	 1	152323807	152323807	0.744936	0.162607	0.985882	0.258824
Amp	 1	152324761	152324761	0.744936	0.162607	0.985882	0.258824
Amp	 1	152324992	152324992	0.744936	0.162607	0.985882	0.258824
Amp	 1	152681835	152681835	0.744936	0.162607	0.985882	0.258824
Amp	 1	153701181	153701181	0.744936	0.162607	0.985882	0.258824
Amp	 1	153991479	153991479	0.744936	0.162607	0.985882	0.258824
Amp	 1	154932228	154932228	0.744936	0.162607	0.985882	0.258824
Amp	 1	155160329	155160329	0.744936	0.162607	0.985882	0.258824
Amp	 1	155208003	155208003	0.744936	0.162607	0.985882	0.258824
Amp	 1	155258028	155258028	0.744936	0.162607	0.985882	0.258824
Amp	 1	155649287	155649287	0.744936	0.162607	0.985882	0.258824
Amp	 1	155679584	155679584	0.744936	0.162607	0.985882	0.258824
Amp	 1	156213701	156213701	0.744936	0.162607	0.985882	0.258824
Amp	 1	156437912	156437912	0.744936	0.162607	0.985882	0.258824
Amp	 1	156884526	156884526	0.744936	0.162607	0.985882	0.258824
Amp	 1	158390229	158390229	0.744936	0.162607	0.985882	0.258824
Amp	 1	160314524	160314524	0.744936	0.162607	0.985882	0.258824
Amp	 1	160851781	160851781	0.744936	0.162607	0.985882	0.258824
Amp	 1	161599741	161599741	0.744936	0.162607	0.985882	0.258824
Amp	 1	161967677	161967677	0.744936	0.162607	0.985882	0.258824
Amp	 1	162313758	162313758	0.744936	0.162607	0.985882	0.258824
Amp	 1	163044301	163044301	0.744936	0.162607	0.985882	0.258824
Amp	 1	164529151	164529151	0.744936	0.162607	0.985882	0.258824
Amp	 1	164790823	164790823	0.744936	0.162607	0.985882	0.258824
Amp	 1	169511728	169511728	0.744936	0.162607	0.985882	0.258824
Amp	 1	171510225	171510225	0.744936	0.162607	0.985882	0.258824
Amp	 1	173933992	173933992	0.744936	0.162607	0.985882	0.258824
Amp	 1	176526234	176526234	0.744936	0.162607	0.985882	0.258824
Amp	 1	179631339	179631339	0.744936	0.162607	0.985882	0.258824
Amp	 1	180959235	180959235	0.744936	0.162607	0.985882	0.258824
Amp	 1	186072691	186072691	0.744936	0.162607	0.985882	0.258824
Amp	 1	186094763	186094763	0.744936	0.162607	0.985882	0.258824
Amp	 1	186303576	186303576	0.744936	0.162607	0.985882	0.258824
Amp	 1	196695675	196695675	0.744936	0.162607	0.985882	0.258824
Amp	 1	197071626	197071626	0.744936	0.162607	0.985882	0.258824
Amp	 1	198675959	198675959	0.744936	0.162607	0.985882	0.258824
Amp	 1	202129898	202129898	0.744936	0.162607	0.985882	0.258824
Amp	 1	207198312	207198312	0.744936	0.162607	0.985882	0.258824
Amp	 1	207641953	207641953	0.744936	0.162607	0.985882	0.258824
Amp	 1	216246236	216246236	0.744936	0.162607	0.985882	0.258824
Amp	 1	222923291	222923291	0.744936	0.162607	0.985882	0.258824
Amp	 1	225702323	225702323	0.744936	0.162607	0.985882	0.258824
Amp	 1	227152786	227152786	0.744936	0.162607	0.985882	0.258824
Amp	 1	236371376	236371376	0.744936	0.162607	0.985882	0.258824
Amp	 1	237060916	237060916	0.744936	0.162607	0.985882	0.258824
Amp	 1	237551459	237551459	0.744936	0.162607	0.985882	0.258824
Amp	 1	241907807	241907807	0.744936	0.162607	0.985882	0.258824
Amp	 1	241929575	241929575	0.744936	0.162607	0.985882	0.258824
Amp	 1	248458141	248458141	0.744936	0.162607	0.985882	0.258824
Amp	 10	5248332	5248332	0.744936	0.162607	0.985882	0.258824
Amp	 10	5963306	5963306	0.744936	0.162607	0.985882	0.258824
Amp	 10	7791230	7791230	0.744936	0.162607	0.985882	0.258824
Amp	 10	15115107	15115107	0.744936	0.162607	0.985882	0.258824
Amp	 10	16883009	16883009	0.744936	0.162607	0.985882	0.258824
Amp	 10	16960644	16960644	0.744936	0.162607	0.985882	0.258824
Amp	 10	17164851	17164851	0.744936	0.162607	0.985882	0.258824
Amp	 10	21784842	21784842	0.744936	0.162607	0.985882	0.258824
Amp	 10	21959598	21959598	0.744936	0.162607	0.985882	0.258824
Amp	 10	22022788	22022788	0.744936	0.162607	0.985882	0.258824
Amp	 10	22615443	22615443	0.744936	0.162607	0.985882	0.258824
Amp	 10	22615443	22615443	0.744936	0.162607	0.985882	0.258824
Amp	 10	24909091	24909091	0.744936	0.162607	0.985882	0.258824
Amp	 10	25313792	25313792	0.744936	0.162607	0.985882	0.258824
Amp	 10	26986729	26986729	0.744936	0.162607	0.985882	0.258824
Amp	 10	27499982	27499982	0.744936	0.162607	0.985882	0.258824
Amp	 10	28224092	28224092	0.744936	0.162607	0.985882	0.258824
Amp	 10	28272788	28272788	0.744936	0.162607	0.985882	0.258824
Amp	 10	28272791	28272791	0.744936	0.162607	0.985882	0.258824
Amp	 10	28284016	28284016	0.744936	0.162607	0.985882	0.258824
Amp	 10	29580930	29580930	0.744936	0.162607	0.985882	0.258824
Amp	 10	30318472	30318472	0.744936	0.162607	0.985882	0.258824
Amp	 10	31134323	31134323	0.744936	0.162607	0.985882	0.258824
Amp	 10	32103240	32103240	0.744936	0.162607	0.985882	0.258824
Amp	 10	32575718	32575718	0.744936	0.162607	0.985882	0.258824
Amp	 10	33224458	33224458	0.744936	0.162607	0.985882	0.258824
Amp	 10	37422972	37422972	0.744936	0.162607	0.985882	0.258824
Amp	 10	51623174	51623174	0.744936	0.162607	0.985882	0.258824
Amp	 10	53457688	53457688	0.744936	0.162607	0.985882	0.258824
Amp	 10	72195340	72195340	0.744936	0.162607	0.985882	0.258824
Amp	 10	79397345	79397345	0.744936	0.162607	0.985882	0.258824
Amp	 10	79784443	79784443	0.744936	0.162607	0.985882	0.258824
Amp	 10	85993888	85993888	0.744936	0.162607	0.985882	0.258824
Amp	 10	86131116	86131116	0.744936	0.162607	0.985882	0.258824
Amp	 10	88649891	88649891	0.744936	0.162607	0.985882	0.258824
Amp	 10	91404734	91404734	0.744936	0.162607	0.985882	0.258824
Amp	 10	95891974	95891974	0.744936	0.162607	0.985882	0.258824
Amp	 10	97101103	97101103	0.744936	0.162607	0.985882	0.258824
Amp	 10	98097944	98097944	0.744936	0.162607	0.985882	0.258824
Amp	 10	102257955	102257955	0.744936	0.162607	0.985882	0.258824
Amp	 10	102748656	102748656	0.744936	0.162607	0.985882	0.258824
Amp	 10	104211149	104211149	0.744936	0.162607	0.985882	0.258824
Amp	 10	105921756	105921756	0.744936	0.162607	0.985882	0.258824
Amp	 10	108437119	108437119	0.744936	0.162607	0.985882	0.258824
Amp	 10	112541047	112541047	0.744936	0.162607	0.985882	0.258824
Amp	 10	113919778	113919778	0.744936	0.162607	0.985882	0.258824
Amp	 10	114061865	114061865	0.744936	0.162607	0.985882	0.258824
Amp	 10	115805057	115805057	0.744936	0.162607	0.985882	0.258824
Amp	 10	118236223	118236223	0.744936	0.162607	0.985882	0.258824
Amp	 10	121411261	121411261	0.744936	0.162607	0.985882	0.258824
Amp	 10	124335951	124335951	0.744936	0.162607	0.985882	0.258824
Amp	 10	124380609	124380609	0.744936	0.162607	0.985882	0.258824
Amp	 10	124712465	124712465	0.744936	0.162607	0.985882	0.258824
Amp	 10	124813226	124813226	0.744936	0.162607	0.985882	0.258824
Amp	 10	129913878	129913878	0.744936	0.162607	0.985882	0.258824
Amp	 11	1605905	1605905	0.744936	0.162607	0.985882	0.258824
Amp	 11	3789965	3789965	0.744936	0.162607	0.985882	0.258824
Amp	 11	5221857	5221857	0.744936	0.162607	0.985882	0.258824
Amp	 11	5290859	5290859	0.744936	0.162607	0.985882	0.258824
Amp	 11	5730793	5730793	0.744936	0.162607	0.985882	0.258824
Amp	 11	6653768	6653768	0.744936	0.162607	0.985882	0.258824
Amp	 11	8161623	8161623	0.744936	0.162607	0.985882	0.258824
Amp	 11	14902239	14902239	0.744936	0.162607	0.985882	0.258824
Amp	 11	15197442	15197442	0.744936	0.162607	0.985882	0.258824
Amp	 11	18956282	18956282	0.744936	0.162607	0.985882	0.258824
Amp	 11	20065813	20065813	0.744936	0.162607	0.985882	0.258824
Amp	 11	26587158	26587158	0.744936	0.162607	0.985882	0.258824
Amp	 11	32874946	32874946	0.744936	0.162607	0.985882	0.258824
Amp	 11	32976858	32976858	0.744936	0.162607	0.985882	0.258824
Amp	 11	48285453	48285453	0.744936	0.162607	0.985882	0.258824
Amp	 11	51515712	51515712	0.744936	0.162607	0.985882	0.258824
Amp	 11	51515727	51515727	0.744936	0.162607	0.985882	0.258824
Amp	 11	55595017	55595017	0.744936	0.162607	0.985882	0.258824
Amp	 11	55658891	55658891	0.744936	0.162607	0.985882	0.258824
Amp	 11	56510788	56510788	0.744936	0.162607	0.985882	0.258824
Amp	 11	56756399	56756399	0.744936	0.162607	0.985882	0.258824
Amp	 11	56756999	56756999	0.744936	0.162607	0.985882	0.258824
Amp	 11	57564074	57564074	0.744936	0.162607	0.985882	0.258824
Amp	 11	57958471	57958471	0.744936	0.162607	0.985882	0.258824
Amp	 11	58384980	58384980	0.744936	0.162607	0.985882	0.258824
Amp	 11	59282711	59282711	0.744936	0.162607	0.985882	0.258824
Amp	 11	59611495	59611495	0.744936	0.162607	0.985882	0.258824
Amp	 11	61724887	61724887	0.744936	0.162607	0.985882	0.258824
Amp	 11	62298641	62298641	0.744936	0.162607	0.985882	0.258824
Amp	 11	62299004	62299004	0.744936	0.162607	0.985882	0.258824
Amp	 11	62377160	62377160	0.744936	0.162607	0.985882	0.258824
Amp	 11	62382163	62382163	0.744936	0.162607	0.985882	0.258824
Amp	 11	62995975	62995975	0.744936	0.162607	0.985882	0.258824
Amp	 11	65481988	65481988	0.744936	0.162607	0.985882	0.258824
Amp	 11	65547221	65547221	0.744936	0.162607	0.985882	0.258824
Amp	 11	66392534	66392534	0.744936	0.162607	0.985882	0.258824
Amp	 11	66457639	66457639	0.744936	0.162607	0.985882	0.258824
Amp	 11	68331866	68331866	0.744936	0.162607	0.985882	0.258824
Amp	 11	72084052	72084052	0.744936	0.162607	0.985882	0.258824
Amp	 11	73021032	73021032	0.744936	0.162607	0.985882	0.258824
Amp	 11	92526066	92526066	0.744936	0.162607	0.985882	0.258824
Amp	 11	93472457	93472457	0.744936	0.162607	0.985882	0.258824
Amp	 11	95512777	95512777	0.744936	0.162607	0.985882	0.258824
Amp	 11	103025296	103025296	0.744936	0.162607	0.985882	0.258824
Amp	 11	104879728	104879728	0.744936	0.162607	0.985882	0.258824
Amp	 11	105789502	105789502	0.744936	0.162607	0.985882	0.258824
Amp	 11	108017059	108017059	0.744936	0.162607	0.985882	0.258824
Amp	 11	108043834	108043834	0.744936	0.162607	0.985882	0.258824
Amp	 11	108192114	108192114	0.744936	0.162607	0.985882	0.258824
Amp	 11	108236120	108236120	0.744936	0.162607	0.985882	0.258824
Amp	 11	108535912	108535912	0.744936	0.162607	0.985882	0.258824
Amp	 11	113618377	113618377	0.744936	0.162607	0.985882	0.258824
Amp	 11	114392862	114392862	0.744936	0.162607	0.985882	0.258824
Amp	 11	118133659	118133659	0.744936	0.162607	0.985882	0.258824
Amp	 11	118347557	118347557	0.744936	0.162607	0.985882	0.258824
Amp	 11	122665463	122665463	0.744936	0.162607	0.985882	0.258824
Amp	 11	124637412	124637412	0.744936	0.162607	0.985882	0.258824
Amp	 11	124745929	124745929	0.744936	0.162607	0.985882	0.258824
Amp	 11	124747839	124747839	0.744936	0.162607	0.985882	0.258824
Amp	 11	125765956	125765956	0.744936	0.162607	0.985882	0.258824
Amp	 11	132812887	132812887	0.744936	0.162607	0.985882	0.258824
Amp	 12	4853740	4853740	0.744936	0.162607	0.985882	0.258824
Amp	 12	5860113	5860113	0.744936	0.162607	0.985882	0.258824
Amp	 12	6646283	6646283	0.744936	0.162607	0.985882	0.258824
Amp	 12	9090522	9090522	0.744936	0.162607	0.985882	0.258824
Amp	 12	10959506	10959506	0.744936	0.162607	0.985882	0.258824
Amp	 12	11061089	11061089	0.744936	0.162607	0.985882	0.258824
Amp	 12	11183456	11183456	0.744936	0.162607	0.985882	0.258824
Amp	 12	11420629	11420629	0.744936	0.162607	0.985882	0.258824
Amp	 12	11461741	11461741	0.744936	0.162607	0.985882	0.258824
Amp	 12	12278309	12278309	0.744936	0.162607	0.985882	0.258824
Amp	 12	13243562	13243562	0.744936	0.162607	0.985882	0.258824
Amp	 12	14794102	14794102	0.744936	0.162607	0.985882	0.258824
Amp	 12	14993909	14993909	0.744936	0.162607	0.985882	0.258824
Amp	 12	21205161	21205161	0.744936	0.162607	0.985882	0.258824
Amp	 12	21467543	21467543	0.744936	0.162607	0.985882	0.258824
Amp	 12	21712612	21712612	0.744936	0.162607	0.985882	0.258824
Amp	 12	21796997	21796997	0.744936	0.162607	0.985882	0.258824
Amp	 12	27109543	27109543	0.744936	0.162607	0.985882	0.258824
Amp	 12	27543062	27543062	0.744936	0.162607	0.985882	0.258824
Amp	 12	30863188	30863188	0.744936	0.162607	0.985882	0.258824
Amp	 12	40875972	40875972	0.744936	0.162607	0.985882	0.258824
Amp	 12	44148801	44148801	0.744936	0.162607	0.985882	0.258824
Amp	 12	49219004	49219004	0.744936	0.162607	0.985882	0.258824
Amp	 12	49428411	49428411	0.744936	0.162607	0.985882	0.258824
Amp	 12	50037771	50037771	0.744936	0.162607	0.985882	0.258824
Amp	 12	50344912	50344912	0.744936	0.162607	0.985882	0.258824
Amp	 12	52284995	52284995	0.744936	0.162607	0.985882	0.258824
Amp	 12	53039345	53039345	0.744936	0.162607	0.985882	0.258824
Amp	 12	53233123	53233123	0.744936	0.162607	0.985882	0.258824
Amp	 12	53241757	53241757	0.744936	0.162607	0.985882	0.258824
Amp	 12	55524325	55524325	0.744936	0.162607	0.985882	0.258824
Amp	 12	56352373	56352373	0.744936	0.162607	0.985882	0.258824
Amp	 12	56481406	56481406	0.744936	0.162607	0.985882	0.258824
Amp	 12	57113692	57113692	0.744936	0.162607	0.985882	0.258824
Amp	 12	57431776	57431776	0.744936	0.162607	0.985882	0.258824
Amp	 12	57920520	57920520	0.744936	0.162607	0.985882	0.258824
Amp	 12	62938748	62938748	0.744936	0.162607	0.985882	0.258824
Amp	 12	71523127	71523127	0.744936	0.162607	0.985882	0.258824
Amp	 12	72056849	72056849	0.744936	0.162607	0.985882	0.258824
Amp	 12	72056858	72056858	0.744936	0.162607	0.985882	0.258824
Amp	 12	72092845	72092845	0.744936	0.162607	0.985882	0.258824
Amp	 12	72288109	72288109	0.744936	0.162607	0.985882	0.258824
Amp	 12	75900277	75900277	0.744936	0.162607	0.985882	0.258824
Amp	 12	78225435	78225435	0.744936	0.162607	0.985882	0.258824
Amp	 12	85438544	85438544	0.744936	0.162607	0.985882	0.258824
Amp	 12	85459134	85459134	0.744936	0.162607	0.985882	0.258824
Amp	 12	96181228	96181228	0.744936	0.162607	0.985882	0.258824
Amp	 12	97339501	97339501	0.744936	0.162607	0.985882	0.258824
Amp	 12	98995158	98995158	0.744936	0.162607	0.985882	0.258824
Amp	 12	100451939	100451939	0.744936	0.162607	0.985882	0.258824
Amp	 12	102174006	102174006	0.744936	0.162607	0.985882	0.258824
Amp	 12	103238169	103238169	0.744936	0.162607	0.985882	0.258824
Amp	 12	104069723	104069723	0.744936	0.162607	0.985882	0.258824
Amp	 12	107395706	107395706	0.744936	0.162607	0.985882	0.258824
Amp	 12	109604680	109604680	0.744936	0.162607	0.985882	0.258824
Amp	 12	111785687	111785687	0.744936	0.162607	0.985882	0.258824
Amp	 12	112097115	112097115	0.744936	0.162607	0.985882	0.258824
Amp	 12	112306595	112306595	0.744936	0.162607	0.985882	0.258824
Amp	 12	112711488	112711488	0.744936	0.162607	0.985882	0.258824
Amp	 12	122353841	122353841	0.744936	0.162607	0.985882	0.258824
Amp	 12	124071316	124071316	0.744936	0.162607	0.985882	0.258824
Amp	 12	124284803	124284803	0.744936	0.162607	0.985882	0.258824
Amp	 12	124416300	124416300	0.744936	0.162607	0.985882	0.258824
Amp	 12	132476725	132476725	0.744936	0.162607	0.985882	0.258824
Amp	 12	132504719	132504719	0.744936	0.162607	0.985882	0.258824
Amp	 12	133502872	133502872	0.744936	0.162607	0.985882	0.258824
Amp	 12	133682921	133682921	0.744936	0.162607	0.985882	0.258824
Amp	 12	133697996	133697996	0.744936	0.162607	0.985882	0.258824
Amp	 13	23915205	23915205	0.744936	0.162607	0.985882	0.258824
Amp	 13	25442808	25442808	0.744936	0.162607	0.985882	0.258824
Amp	 13	26788877	26788877	0.744936	0.162607	0.985882	0.258824
Amp	 13	28609751	28609751	0.744936	0.162607	0.985882	0.258824
Amp	 13	29287326	29287326	0.744936	0.162607	0.985882	0.258824
Amp	 13	31722122	31722122	0.744936	0.162607	0.985882	0.258824
Amp	 13	32852636	32852636	0.744936	0.162607	0.985882	0.258824
Amp	 13	32915313	32915313	0.744936	0.162607	0.985882	0.258824
Amp	 13	32944585	32944585	0.744936	0.162607	0.985882	0.258824
Amp	 13	32954253	32954253	0.744936	0.162607	0.985882	0.258824
Amp	 13	34392356	34392356	0.744936	0.162607	0.985882	0.258824
Amp	 13	41134762	41134762	0.744936	0.162607	0.985882	0.258824
Amp	 13	42393436	42393436	0.744936	0.162607	0.985882	0.258824
Amp	 13	42772626	42772626	0.744936	0.162607	0.985882	0.258824
Amp	 13	46539564	46539564	0.744936	0.162607	0.985882	0.258824
Amp	 13	49765366	49765366	0.744936	0.162607	0.985882	0.258824
Amp	 13	49842085	49842085	0.744936	0.162607	0.985882	0.258824
Amp	 13	52523898	52523898	0.744936	0.162607	0.985882	0.258824
Amp	 13	61102930	61102930	0.744936	0.162607	0.985882	0.258824
Amp	 13	74420167	74420167	0.744936	0.162607	0.985882	0.258824
Amp	 13	76140877	76140877	0.744936	0.162607	0.985882	0.258824
Amp	 13	96246259	96246259	0.744936	0.162607	0.985882	0.258824
Amp	 13	99061646	99061646	0.744936	0.162607	0.985882	0.258824
Amp	 13	99907696	99907696	0.744936	0.162607	0.985882	0.258824
Amp	 13	103718370	103718370	0.744936	0.162607	0.985882	0.258824
Amp	 13	108959249	108959249	0.744936	0.162607	0.985882	0.258824
Amp	 13	110838809	110838809	0.744936	0.162607	0.985882	0.258824
Amp	 13	115090621	115090621	0.744936	0.162607	0.985882	0.258824
Amp	 14	20528250	20528250	0.744936	0.162607	0.985882	0.258824
Amp	 14	20528325	20528325	0.744936	0.162607	0.985882	0.258824
Amp	 14	20757838	20757838	0.744936	0.162607	0.985882	0.258824
Amp	 14	21992054	21992054	0.744936	0.162607	0.985882	0.258824
Amp	 14	21992885	21992885	0.744936	0.162607	0.985882	0.258824
Amp	 14	31099756	31099756	0.744936	0.162607	0.985882	0.258824
Amp	 14	31348040	31348040	0.744936	0.162607	0.985882	0.258824
Amp	 14	33204991	33204991	0.744936	0.162607	0.985882	0.258824
Amp	 14	39532577	39532577	0.744936	0.162607	0.985882	0.258824
Amp	 14	39716716	39716716	0.744936	0.162607	0.985882	0.258824
Amp	 14	45433309	45433309	0.744936	0.162607	0.985882	0.258824
Amp	 14	45645661	45645661	0.744936	0.162607	0.985882	0.258824
Amp	 14	52507491	52507491	0.744936	0.162607	0.985882	0.258824
Amp	 14	52906089	52906089	0.744936	0.162607	0.985882	0.258824
Amp	 14	52923868	52923868	0.744936	0.162607	0.985882	0.258824
Amp	 14	57268760	57268760	0.744936	0.162607	0.985882	0.258824
Amp	 14	58604821	58604821	0.744936	0.162607	0.985882	0.258824
Amp	 14	58875774	58875774	0.744936	0.162607	0.985882	0.258824
Amp	 14	58934567	58934567	0.744936	0.162607	0.985882	0.258824
Amp	 14	60619871	60619871	0.744936	0.162607	0.985882	0.258824
Amp	 14	63671604	63671604	0.744936	0.162607	0.985882	0.258824
Amp	 14	64685201	64685201	0.744936	0.162607	0.985882	0.258824
Amp	 14	70125419	70125419	0.744936	0.162607	0.985882	0.258824
Amp	 14	73659429	73659429	0.744936	0.162607	0.985882	0.258824
Amp	 14	73683837	73683837	0.744936	0.162607	0.985882	0.258824
Amp	 14	74059013	74059013	0.744936	0.162607	0.985882	0.258824
Amp	 14	74086140	74086140	0.744936	0.162607	0.985882	0.258824
Amp	 14	74205822	74205822	0.744936	0.162607	0.985882	0.258824
Amp	 14	74206380	74206380	0.744936	0.162607	0.985882	0.258824
Amp	 14	74416866	74416866	0.744936	0.162607	0.985882	0.258824
Amp	 14	74766321	74766321	0.744936	0.162607	0.985882	0.258824
Amp	 14	75513306	75513306	0.744936	0.162607	0.985882	0.258824
Amp	 14	88940082	88940082	0.744936	0.162607	0.985882	0.258824
Amp	 14	89307251	89307251	0.744936	0.162607	0.985882	0.258824
Amp	 14	95593047	95593047	0.744936	0.162607	0.985882	0.258824
Amp	 14	105414112	105414112	0.744936	0.162607	0.985882	0.258824
Amp	 14	105417082	105417082	0.744936	0.162607	0.985882	0.258824
Amp	 14	105417370	105417370	0.744936	0.162607	0.985882	0.258824
